wind speed,0,6,9,12,25
beat angles,43,50.24,49.4,47.35,48.01
beat sog,0,7.53,9.39,11.96,13.08
0,0,0,0,0,0
30,0,0,0,0,0
45,,6.55,8.38,11.39,12.11
47.35,,,,11.96,
48.01,,,,,13.08
49.4,,,9.39,,
50.24,,7.53,,,
70.21,,,,14.22,
70.47,,9.97,,,
70.58,,,11.98,,
70.71,,,,,15.69
90,0,11.39,13.43,15.14,17.5
101.14,,,,,18.45
101.21,,,,15.25,
101.39,,,13.37,,
101.83,,11.07,,,
108.6,,10.6,,,
111.92,,,12.77,,
113.94,,,,14.94,
117.54,,9.71,,,
121.46,,,,,19.16
121.6,,,11.85,,
127.26,,,,13.61,
136.1,,12.21,,,
138.8,,,13.91,,
140,,,,,18.5
141.7,,12.63,,,
144.52,,,,16.83,
144.7,,,14.35,,
145.85,,11.13,,,
147.91,,6.88,,,
150.64,,,,,22.1
150.77,,,,17.82,
150.86,,,12.45,,
155,,,7.87,,
155.6,,,,15.35,
155.78,,,,,23.25
157.65,,,,9.01,
159.51,,,,,22.09
163.83,,,,,16.29
180,0,5.56,6.48,7.55,14.72
jibe sog,0,12.63,14.35,17.82,23.25
jibe angles,135,141.7,144.7,150.8,155.8
