wind speed,0,6,8,10,12,14,16,20
beat angles,45,43.4,41.8,38.9,37.5,36.8,36.3,36.9
beat sog,0,6.435,7.678,8.129,8.448,8.679,8.712,8.734
0,0,0,0,0,0,0,0,0
52,0,6.57,7.78,8.34,8.64,8.84,8.95,8.91
60,0,7.01,8.13,8.66,8.95,9.15,9.28,9.34
75,0,7.36,8.38,9.01,9.39,9.62,9.8,10.01
90,0,7.31,8.31,8.95,9.5,9.98,10.28,10.67
110,0,6.73,8.04,8.87,9.54,10.08,10.44,11.17
120,0,6.39,7.79,8.64,9.3,9.95,10.72,11.81
135,0,5.58,7,8.02,8.71,9.29,9.88,11.47
150,0,4.62,5.85,6.97,7.86,8.57,9.13,10.26
180,0,2.5,3,4,5,6,7,7.5
jibe sog,0,5.22,6.38,7.09,7.6,7.97,8.39,9.38
jibe angles,120,140,142.6,148.4,154.4,162.5,169.6,172.3
